id,name,brand,description,category_id
b93432cc-265c-44cb-81ea-d61b139eab22,ADIDAS Men Adna Ss Tee T-Shirts,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
5ab0b292-94cd-4af0-a5b9-83cb3282fd66,ADIDAS Men Advent Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
85ddf6c8-2b6e-48ff-b742-b056dabc93b3,ADIDAS Men Advent Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
e6636e25-c4dd-4a46-b4aa-70f12c8fec73,ADIDAS Men Aerostar Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
64c56e16-2be7-425a-98b9-70798abd5d02,ADIDAS Men Aess Crew T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
787bfde1-f925-43d1-aff4-621b09a2fa3a,ADIDAS Men Aess Hsj Shorts,ADIDAS,,1d27d774-798c-44bb-9544-45646409e6bb
011c4efd-d088-4a01-8419-932c116313f5,ADIDAS Men Aess Logo T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
418d2b29-8740-4f01-b2fb-c760968dae1d,ADIDAS Men Aess Polo T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
78da6649-d3e3-4c81-9ae8-729b3d120736,ADIDAS Men Agora Lea Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
6dd39d8b-79e3-4439-9e27-7adea1701546,ADIDAS Men Agora Lea Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
1b5a2744-2b84-4f7e-93aa-f977058ad24d,ADIDAS Men Agora Sport Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
77cbba55-e6ef-42fd-a364-76d4ad9c8510,ADIDAS Men Agora Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
425a2815-1483-433f-a3be-c2480b5ff47f,ADIDAS Men Allegra Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
5d442f3a-8181-44a1-879a-017fb4e0ba26,ADIDAS Men Almighty Zeus T-shirt,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
3674b8dd-f2ac-422c-9f41-1d5931bed25e,ADIDAS Men Alumin Sandal,ADIDAS,,f777c799-6b92-4fc0-b6c4-aa3f2b3b147c
b5c7e206-06e9-4f04-9b31-c8aca5c218a1,ADIDAS Men Ambition Logo Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
9f002e4f-8a87-4787-8a68-64de3d33113d,ADIDAS Men Ambition Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
9fa9c465-19f8-46ea-a374-28e41e5f743f,ADIDAS Men Ambition VII Logo Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
102b5913-1e67-4ca8-9148-c25ef8acc84e,ADIDAS Men Ambition VII Stripes Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
9d7c1a83-8539-4aca-acfa-ca907f898e29,ADIDAS Men Anzo Breeze Casual Shoes,ADIDAS,,7a0b23cf-d7a8-419b-8ca3-42114be7ff9e
75f656e0-4351-488b-86f7-417a1b88006c,ADIDAS Men Apelido Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
09cb5fb6-af5d-44c7-bc6f-5fba1980722c,ADIDAS Men Arcane Shoe,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
4e3fd523-7e47-437d-a8d4-b7daf681db93,ADIDAS Men Argentina AFA H REP Jersey,ADIDAS,,031d5f19-119e-48b5-b1bc-3942fc4b7bba
ccaeb8c0-4733-425d-a649-27a986f9d91f,ADIDAS Men Astar Salvation 3 Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
7d9cd567-de2e-4293-9779-496a124e97c2,ADIDAS Men Astride Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
0172b146-cd8a-472c-90ec-ea69dcd3e342,ADIDAS Men Athlos Sports Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
0de934aa-2802-4807-946a-1e1f78d0202b,ADIDAS Men Aztek Shoes,ADIDAS,,f870da7d-6954-4401-8cde-600ee58286c4
fc320ccc-8521-4c59-a94d-2d403b853347,ADIDAS Men Badge P/O Sweaters,ADIDAS,,cdadab1e-4088-4636-a703-ba2ce029abdc
10631dc0-98f6-4fee-be32-1987823446c5,ADIDAS Men Bag,ADIDAS,,4168a9fb-e238-47c4-b793-96bffa79af4a
